accrediops-backend  | [08/May/2026 08:14:39] "POST /api/auth/login/ HTTP/1.1" 200 147
accrediops-backend  | [08/May/2026 08:14:39] "GET /api/auth/session/ HTTP/1.1" 200 59
accrediops-backend  | [08/May/2026 08:14:39] "POST /api/auth/login/ HTTP/1.1" 200 147
accrediops-backend  | [08/May/2026 08:14:39] "GET /api/auth/session/ HTTP/1.1" 200 59
accrediops-backend  | [08/May/2026 08:14:41] "GET /api/auth/session/ HTTP/1.1" 200 59
accrediops-backend  | [08/May/2026 08:14:43] "POST /api/auth/login/ HTTP/1.1" 200 147
accrediops-backend  | [08/May/2026 08:14:43] "GET /api/auth/session/ HTTP/1.1" 200 147
accrediops-backend  | [08/May/2026 08:14:46] "GET /api/health/ HTTP/1.1" 200 86
accrediops-backend  | [08/May/2026 08:14:47] "GET /api/auth/session/ HTTP/1.1" 200 59
accrediops-backend  | [08/May/2026 08:14:47] "GET /api/auth/session/ HTTP/1.1" 200 59
accrediops-backend  | [08/May/2026 08:14:50] "GET /api/auth/session/ HTTP/1.1" 200 59
accrediops-backend  | [08/May/2026 08:14:51] "GET /api/auth/session/ HTTP/1.1" 200 59
accrediops-backend  | [08/May/2026 08:14:53] "POST /api/auth/login/ HTTP/1.1" 200 145
accrediops-backend  | [08/May/2026 08:14:53] "GET /api/auth/session/ HTTP/1.1" 200 59
accrediops-backend  | [08/May/2026 08:14:54] "GET /api/auth/session/ HTTP/1.1" 200 59
accrediops-backend  | [08/May/2026 08:14:56] "GET /api/auth/session/ HTTP/1.1" 200 59
accrediops-backend  | [08/May/2026 08:14:56] "POST /api/auth/login/ HTTP/1.1" 200 147
accrediops-backend  | [08/May/2026 08:14:56] "GET /api/auth/session/ HTTP/1.1" 200 147
accrediops-backend  | [08/May/2026 08:14:57] "GET /api/auth/session/ HTTP/1.1" 200 59
accrediops-backend  | [08/May/2026 08:14:59] "POST /api/auth/login/ HTTP/1.1" 200 145
accrediops-backend  | [08/May/2026 08:14:59] "GET /api/auth/session/ HTTP/1.1" 200 145
accrediops-backend  | [08/May/2026 08:15:00] "GET /api/auth/session/ HTTP/1.1" 200 59
accrediops-backend  | [08/May/2026 08:15:02] "POST /api/auth/login/ HTTP/1.1" 200 147
accrediops-backend  | [08/May/2026 08:15:02] "GET /api/health/ HTTP/1.1" 200 86
accrediops-backend  | [08/May/2026 08:15:02] "GET /api/auth/session/ HTTP/1.1" 200 147
accrediops-backend  | [08/May/2026 08:15:02] "GET /api/auth/session/ HTTP/1.1" 200 147
accrediops-backend  | [08/May/2026 08:15:03] "GET /api/auth/session/ HTTP/1.1" 200 59
accrediops-backend  | [08/May/2026 08:15:04] "POST /api/auth/login/ HTTP/1.1" 200 153
accrediops-backend  | [08/May/2026 08:15:04] "GET /api/auth/session/ HTTP/1.1" 200 153
accrediops-backend  | [08/May/2026 08:15:04] "GET /api/auth/session/ HTTP/1.1" 200 153
accrediops-backend  | [08/May/2026 08:15:05] "GET /api/auth/session/ HTTP/1.1" 200 59
accrediops-backend  | [08/May/2026 08:15:06] "POST /api/auth/login/ HTTP/1.1" 200 153
accrediops-backend  | [08/May/2026 08:15:06] "GET /api/auth/session/ HTTP/1.1" 200 153
accrediops-backend  | [08/May/2026 08:15:12] "GET /api/auth/session/ HTTP/1.1" 200 59
accrediops-backend  | [08/May/2026 08:15:13] "POST /api/auth/login/ HTTP/1.1" 200 147
accrediops-backend  | [08/May/2026 08:15:13] "GET /api/auth/session/ HTTP/1.1" 200 147
accrediops-backend  | [08/May/2026 08:15:13] "GET /api/auth/session/ HTTP/1.1" 200 147
accrediops-backend  | [08/May/2026 08:15:14] "GET /api/frameworks/ HTTP/1.1" 200 68
accrediops-backend  | [08/May/2026 08:15:14] "GET /api/projects/ HTTP/1.1" 200 564
accrediops-backend  | [08/May/2026 08:15:14] "GET /api/auth/session/ HTTP/1.1" 200 147
